season,station_number,valid_15z_date,MinT
Winter 2015,40913,2015-07-26,13.1
Winter 2015,94029,2015-07-26,6.0
Winter 2015,9225,2015-07-26,3.9
Winter 2015,66062,2015-07-27,7.3
Winter 2015,23090,2015-07-27,3.1
Winter 2015,86338,2015-07-27,6.2
Winter 2015,14015,2015-07-27,23.9
Winter 2015,70351,2015-07-27,1.4
Winter 2015,40913,2015-07-27,13.5
Winter 2015,94029,2015-07-27,5.0
Winter 2015,9225,2015-07-27,7.1
Winter 2015,66062,2015-07-28,6.4
Winter 2015,23090,2015-07-28,7.2
Winter 2015,86338,2015-07-28,8.9
Winter 2015,14015,2015-07-28,20.6
Winter 2015,70351,2015-07-28,-4.1
Winter 2015,40913,2015-07-28,10.0
Winter 2015,94029,2015-07-28,7.6
Winter 2015,9225,2015-07-28,11.8
Winter 2015,66062,2015-07-29,8.1
Winter 2015,23090,2015-07-29,6.8
Winter 2015,86338,2015-07-29,8.4
Winter 2015,14015,2015-07-29,20.3
Winter 2015,70351,2015-07-29,
Winter 2015,40913,2015-07-29,7.8
Winter 2015,94029,2015-07-29,6.7
Winter 2015,9225,2015-07-29,9.7
Winter 2015,66062,2015-07-30,8.2
Winter 2015,23090,2015-07-30,9.5
Winter 2015,86338,2015-07-30,8.6
Winter 2015,14015,2015-07-30,20.2
Winter 2015,70351,2015-07-30,-2.5
Winter 2015,40913,2015-07-30,10.2
Winter 2015,94029,2015-07-30,9.6
Winter 2015,9225,2015-07-30,15.8
Winter 2015,66062,2015-07-31,12.1
Winter 2015,23090,2015-07-31,3.3
Winter 2015,86338,2015-07-31,4.1
Winter 2015,14015,2015-07-31,18.8
Winter 2015,70351,2015-07-31,2.4
Winter 2015,40913,2015-07-31,9.7
Winter 2015,94029,2015-07-31,5.4
Winter 2015,9225,2015-07-31,15.8
Winter 2015,66062,2015-08-01,9.4
Winter 2015,23090,2015-08-01,10.7
Winter 2015,86338,2015-08-01,9.8
Winter 2015,14015,2015-08-01,20.9
Winter 2015,70351,2015-08-01,2.3
Winter 2015,40913,2015-08-01,9.1
Winter 2015,94029,2015-08-01,6.1
Winter 2015,9225,2015-08-01,11.7
Winter 2015,66062,2015-08-02,15.7
Winter 2015,23090,2015-08-02,8.1
Winter 2015,86338,2015-08-02,7.8
Winter 2015,14015,2015-08-02,17.9
Winter 2015,70351,2015-08-02,7.4
Winter 2015,40913,2015-08-02,10.0
Winter 2015,94029,2015-08-02,6.3
Winter 2015,9225,2015-08-02,6.0
Winter 2015,66062,2015-08-03,8.4
Winter 2015,23090,2015-08-03,10.1
Winter 2015,86338,2015-08-03,7.3
Winter 2015,14015,2015-08-03,19.9
Winter 2015,70351,2015-08-03,3.8
Winter 2015,40913,2015-08-03,10.6
Winter 2015,94029,2015-08-03,1.0
Winter 2015,9225,2015-08-03,4.3
Winter 2015,66062,2015-08-04,8.3
Winter 2015,23090,2015-08-04,6.5
Winter 2015,86338,2015-08-04,3.5
Winter 2015,14015,2015-08-04,19.7
Winter 2015,70351,2015-08-04,
Winter 2015,40913,2015-08-04,13.5
Winter 2015,94029,2015-08-04,2.9
Winter 2015,9225,2015-08-04,8.2
Winter 2015,66062,2015-08-05,5.0
Winter 2015,23090,2015-08-05,9.4
Winter 2015,86338,2015-08-05,8.4
Winter 2015,14015,2015-08-05,17.3
Winter 2015,70351,2015-08-05,1.5
Winter 2015,40913,2015-08-05,7.9
Winter 2015,94029,2015-08-05,2.5
Winter 2015,9225,2015-08-05,6.6
Winter 2015,66062,2015-08-06,6.8
Winter 2015,23090,2015-08-06,7.7
Winter 2015,86338,2015-08-06,7.1
Winter 2015,14015,2015-08-06,17.1
Winter 2015,70351,2015-08-06,-0.1
Winter 2015,40913,2015-08-06,6.1
Winter 2015,94029,2015-08-06,3.1
